pseudo_mode,label_col,hazard_col,threshold,pos_rate,tp,fp,tn,fn,base_cost,stability_proxy,total_cost
A,pseudo_failure_A,hazard_logit,0.97,0.2631578947368421,5,0,13,1,5.0,0.01,5.0475
A,pseudo_failure_A,hazard_logit,0.98,0.2631578947368421,5,0,13,1,5.0,0.01,5.0475
A,pseudo_failure_A,hazard_logit,0.99,0.21052631578947367,4,0,13,2,10.0,0.01,10.0475
A,pseudo_failure_A,hazard_logit,1.0,0.0,0,0,13,6,30.0,0.01,30.0475
A,pseudo_failure_A,hazard_tree,0.0,1.0,6,13,0,0,13.0,0.003157894736842105,13.015
A,pseudo_failure_A,hazard_tree,0.01,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.02,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.03,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.04,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.05,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.06,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.07,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.08,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.09,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.1,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.11,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.12,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.13,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.14,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.15,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.16,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.17,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.18,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.19,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.2,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.21,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.22,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.23,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.24,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.25,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.26,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.27,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.28,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.29,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.3,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.31,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.32,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.33,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.34,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.35000000000000003,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.36,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.37,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.38,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.39,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.4,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.41000000000000003,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.42,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.43,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.44,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.45,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.46,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.47000000000000003,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.48,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.49,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.5,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.51,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.52,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.53,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.54,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
A,pseudo_failure_A,hazard_tree,0.55,0.6842105263157895,6,7,6,0,7.0,0.003157894736842105,7.015
