run_id,case_id,antibody_id,step,blocked_rate_window_x,veto_streak_x,action_toggle_rate_x,SoMS_cumsum_window_x,recovery_time_est,pressure_index,soms_slope_5,toggle_rate_ma_5,blocked_rate_ma_5,soms_slope_10,toggle_rate_ma_10,blocked_rate_ma_10,toggle_over_th_streak_10,blocked_over_partialseal_streak_10,SoMS_cumsum_window_y,action_toggle_rate_y,blocked_rate_window_y,veto_streak_y,conflict_density_proxy,y_soms_runaway,y_osc_nonrecover,y_conflict_selfamp
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,20,0.0,0,0.0,18.9,,0.18899999999999997,0.8000000000000007,0.0,0.0,0.42575757575757556,0.0,0.0,0,0,18.9,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,21,0.0,0,0.0,19.7,,0.19699999999999998,0.7999999999999996,0.0,0.0,0.5242424242424246,0.0,0.0,0,0,19.7,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,22,0.0,0,0.0,20.5,,0.205,0.8000000000000009,0.0,0.0,0.6187878787878801,0.0,0.0,0,0,20.5,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,23,0.0,0,0.0,21.3,,0.213,0.8000000000000019,0.0,0.0,0.7015151515151516,0.0,0.0,0,0,21.3,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,24,0.0,0,0.0,21.45,,0.2145,0.670000000000003,0.0,0.0,0.7290909090909103,0.0,0.0,0,0,21.45,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,25,0.0,0,0.0,21.6,,0.21600000000000003,0.4750000000000008,0.0,0.0,0.7015151515151525,0.0,0.0,0,0,21.6,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,26,0.0,0,0.0,22.4,,0.22399999999999998,0.40999999999999986,0.0,0.0,0.6542424242424251,0.0,0.0,0,0,22.4,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,27,0.0,0,0.0,22.550000000000004,,0.22550000000000003,0.3450000000000043,0.0,0.0,0.5872727272727284,0.0,0.0,0,0,22.550000000000004,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,28,0.0,0,0.0,23.35,,0.2335,0.47500000000000336,0.0,0.0,0.543939393939395,0.0,0.0,0,0,23.35,0.0,0.0,0.0,0.0,0,0,0
core7_04_1767776352,A_ALWAYS_ALLOW,antibody_B,29,0.0,0,0.0,24.15,,0.2415,0.6050000000000014,0.0,0.0,0.5242424242424255,0.0,0.0,0,0,24.15,0.0,0.0,0.0,0.0,0,0,0
